You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0869
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d5_s0297_N4_v1", "cached_question": "Đào tạo liên thông để cấp văn bằng trình độ đại học không áp dụng cho những ngành nào?", "cached_answer": "Đào tạo liên thông không áp dụng đối với đào tạo các ngành Y khoa và Răng Hàm Mặt.", "new_query": "Đào tạo liên thông để cấp văn bằng trình độ đại học được áp dụng đối với những ngành nào?"}
{"pair_id": "d5_s0297_P1_v1", "cached_question": "Đào tạo liên thông để cấp văn bằng trình độ đại học không áp dụng cho những ngành nào?", "cached_answer": "Đào tạo liên thông không áp dụng đối với đào tạo các ngành Y khoa và Răng Hàm Mặt.", "new_query": "Những ngành nào không được đào tạo liên thông để cấp bằng trình độ đại học?"}
{"pair_id": "d5_s0297_P1_v2", "cached_question": "Đào tạo liên thông để cấp văn bằng trình độ đại học không áp dụng cho những ngành nào?", "cached_answer": "Đào tạo liên thông không áp dụng đối với đào tạo các ngành Y khoa và Răng Hàm Mặt.", "new_query": "Đào tạo liên thông cấp văn bằng trình độ đại học bị loại trừ đối với các ngành nào?"}
{"pair_id": "d5_s0297_P1_v3", "cached_question": "Đào tạo liên thông để cấp văn bằng trình độ đại học không áp dụng cho những ngành nào?", "cached_answer": "Đào tạo liên thông không áp dụng đối với đào tạo các ngành Y khoa và Răng Hàm Mặt.", "new_query": "Ngành nào không thuộc phạm vi áp dụng của đào tạo liên thông trình độ đại học?"}
{"pair_id": "d5_s0297_P1_v4", "cached_question": "Đào tạo liên thông để cấp văn bằng trình độ đại học không áp dụng cho những ngành nào?", "cached_answer": "Đào tạo liên thông không áp dụng đối với đào tạo các ngành Y khoa và Răng Hàm Mặt.", "new_query": "Hình thức liên thông để nhận bằng đại học không được thực hiện với những ngành học nào?"}
{"pair_id": "d5_s0297_P2_v1", "cached_question": "Đào tạo liên thông để cấp văn bằng trình độ đại học không áp dụng cho những ngành nào?", "cached_answer": "Đào tạo liên thông không áp dụng đối với đào tạo các ngành Y khoa và Răng Hàm Mặt.", "new_query": "Cho tôi biết các ngành không áp dụng đào tạo liên thông để cấp văn bằng trình độ đại học."}
{"pair_id": "d5_s0297_P2_v2", "cached_question": "Đào tạo liên thông để cấp văn bằng trình độ đại học không áp dụng cho những ngành nào?", "cached_answer": "Đào tạo liên thông không áp dụng đối với đào tạo các ngành Y khoa và Răng Hàm Mặt.", "new_query": "Việc đào tạo liên thông cấp bằng đại học không được áp dụng với ngành nào theo quy định?"}
{"pair_id": "d5_s0297_P2_v3", "cached_question": "Đào tạo liên thông để cấp văn bằng trình độ đại học không áp dụng cho những ngành nào?", "cached_answer": "Đào tạo liên thông không áp dụng đối với đào tạo các ngành Y khoa và Răng Hàm Mặt.", "new_query": "Danh sách ngành bị loại khỏi hình thức đào tạo liên thông trình độ đại học gồm những gì?"}
{"pair_id": "d5_s0297_P2_v4", "cached_question": "Đào tạo liên thông để cấp văn bằng trình độ đại học không áp dụng cho những ngành nào?", "cached_answer": "Đào tạo liên thông không áp dụng đối với đào tạo các ngành Y khoa và Răng Hàm Mặt.", "new_query": "Tôi muốn biết ngành nào không được phép đào tạo liên thông để cấp văn bằng đại học."}
{"pair_id": "d5_s0298_N2_v1", "cached_question": "Cơ sở đào tạo phải tuyển sinh tối thiểu bao nhiêu khóa để được tổ chức đào tạo liên thông cho một chương trình, ngành đào tạo?", "cached_answer": "Cơ sở đào tạo phải đã tuyển sinh được tối thiểu 03 khóa theo chương trình, ngành đào tạo và hình thức đào tạo mà sinh viên lựa chọn.", "new_query": "Đối với hình thức đào tạo từ xa, cơ sở đào tạo phải tuyển sinh tối thiểu bao nhiêu khóa để tổ chức liên thông?"}
{"pair_id": "d5_s0298_N2_v2", "cached_question": "Cơ sở đào tạo phải tuyển sinh tối thiểu bao nhiêu khóa để được tổ chức đào tạo liên thông cho một chương trình, ngành đào tạo?", "cached_answer": "Cơ sở đào tạo phải đã tuyển sinh được tối thiểu 03 khóa theo chương trình, ngành đào tạo và hình thức đào tạo mà sinh viên lựa chọn.", "new_query": "Cơ sở đào tạo phải tuyển sinh tối thiểu bao nhiêu khóa trình độ đại học trước khi tổ chức liên thông từ trình độ cao đẳng?"}
