You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0550
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0188_P1_v4", "cached_question": "How is the winning side of an Oxford-style IQ2 debate determined?", "cached_answer": "A side wins if the difference between its post-debate and pre-debate vote percentages (the 'delta') is greater than that of the opposing side.", "new_query": "How does one identify the winning team in an Oxford-style IQ2 debate?"}
{"pair_id": "d2_s0188_P2_v1", "cached_question": "How is the winning side of an Oxford-style IQ2 debate determined?", "cached_answer": "A side wins if the difference between its post-debate and pre-debate vote percentages (the 'delta') is greater than that of the opposing side.", "new_query": "Explain the procedure used to determine the winner of an Oxford-style IQ2 debate."}
{"pair_id": "d2_s0188_P2_v3", "cached_question": "How is the winning side of an Oxford-style IQ2 debate determined?", "cached_answer": "A side wins if the difference between its post-debate and pre-debate vote percentages (the 'delta') is greater than that of the opposing side.", "new_query": "Tell me the rule by which a side is declared the winner of an Oxford-style IQ2 debate."}
{"pair_id": "d2_s0188_P2_v4", "cached_question": "How is the winning side of an Oxford-style IQ2 debate determined?", "cached_answer": "A side wins if the difference between its post-debate and pre-debate vote percentages (the 'delta') is greater than that of the opposing side.", "new_query": "What has to happen for a side to be declared the winner in an Oxford-style IQ2 debate?"}
{"pair_id": "d2_s0188_P3_v2", "cached_question": "How is the winning side of an Oxford-style IQ2 debate determined?", "cached_answer": "A side wins if the difference between its post-debate and pre-debate vote percentages (the 'delta') is greater than that of the opposing side.", "new_query": "how do they decide who wins an oxford-style iq2 debate btw"}
{"pair_id": "d2_s0188_P3_v3", "cached_question": "How is the winning side of an Oxford-style IQ2 debate determined?", "cached_answer": "A side wins if the difference between its post-debate and pre-debate vote percentages (the 'delta') is greater than that of the opposing side.", "new_query": "winning side in oxford style IQ2 debate - how is it determined??"}
{"pair_id": "d2_s0188_P3_v4", "cached_question": "How is the winning side of an Oxford-style IQ2 debate determined?", "cached_answer": "A side wins if the difference between its post-debate and pre-debate vote percentages (the 'delta') is greater than that of the opposing side.", "new_query": "how r winners picked in oxford-style IQ2 debates"}
{"pair_id": "d2_s0193_N3_v1", "cached_question": "What languages does this paper's document clustering method target, and how does it build language-independent representations?", "cached_answer": "It targets Russian and Ukrainian academic texts, building representations by training Continuous Bag-of-Words models on monolingual corpora for each language and learning a linear transformation matrix between them using a small bilingual dictionary.", "new_query": "What languages does this paper's document classification method target, and how does it build language-independent representations?"}
{"pair_id": "d2_s0193_P1_v2", "cached_question": "What languages does this paper's document clustering method target, and how does it build language-independent representations?", "cached_answer": "It targets Russian and Ukrainian academic texts, building representations by training Continuous Bag-of-Words models on monolingual corpora for each language and learning a linear transformation matrix between them using a small bilingual dictionary.", "new_query": "What languages is this paper's document clustering approach aimed at, and by what means does it build language-agnostic representations?"}
{"pair_id": "d2_s0193_P1_v3", "cached_question": "What languages does this paper's document clustering method target, and how does it build language-independent representations?", "cached_answer": "It targets Russian and Ukrainian academic texts, building representations by training Continuous Bag-of-Words models on monolingual corpora for each language and learning a linear transformation matrix between them using a small bilingual dictionary.", "new_query": "This paper's clustering method covers which languages, and how does it produce representations that are independent of language?"}
{"pair_id": "d2_s0193_P1_v4", "cached_question": "What languages does this paper's document clustering method target, and how does it build language-independent representations?", "cached_answer": "It targets Russian and Ukrainian academic texts, building representations by training Continuous Bag-of-Words models on monolingual corpora for each language and learning a linear transformation matrix between them using a small bilingual dictionary.", "new_query": "Which languages are targeted by the document clustering technique here, and how does it obtain language-independent embeddings?"}
