You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0594
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0591_P2_v2", "cached_question": "What effect did adding character-level extensions have across the benchmarks tested?", "cached_answer": "Character-level extensions were found to improve performance on every benchmark tested.", "new_query": "Across the benchmarks tested, what was observed once character-level extensions were added?"}
{"pair_id": "d2_s0591_P2_v3", "cached_question": "What effect did adding character-level extensions have across the benchmarks tested?", "cached_answer": "Character-level extensions were found to improve performance on every benchmark tested.", "new_query": "Character-level extensions were added — with what effect on the benchmarks tested?"}
{"pair_id": "d2_s0591_P2_v4", "cached_question": "What effect did adding character-level extensions have across the benchmarks tested?", "cached_answer": "Character-level extensions were found to improve performance on every benchmark tested.", "new_query": "I'd like to know what happened on the tested benchmarks when character-level extensions were introduced."}
{"pair_id": "d2_s0591_P3_v2", "cached_question": "What effect did adding character-level extensions have across the benchmarks tested?", "cached_answer": "Character-level extensions were found to improve performance on every benchmark tested.", "new_query": "adding character level extensions — what efect on the benchmarks tested??"}
{"pair_id": "d2_s0591_P3_v3", "cached_question": "What effect did adding character-level extensions have across the benchmarks tested?", "cached_answer": "Character-level extensions were found to improve performance on every benchmark tested.", "new_query": "whats the effect of char lvl extensions accross all benchmarks tested"}
{"pair_id": "d2_s0591_P3_v4", "cached_question": "What effect did adding character-level extensions have across the benchmarks tested?", "cached_answer": "Character-level extensions were found to improve performance on every benchmark tested.", "new_query": "did char-level extensions change anything on the benchmarks tested, n what effect"}
{"pair_id": "d2_s0592_N1_v1", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "How is the model's character-level representation of a word computed?"}
{"pair_id": "d2_s0592_N2_v1", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "How does the model decide how much to rely on word-level versus character-level representations for out-of-vocabulary words?"}
{"pair_id": "d2_s0592_N3_v1", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "How does the model decide how much to rely on word-level versus subword-level representations for a word?"}
{"pair_id": "d2_s0592_N3_v2", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "How does the model decide how much to rely on part-of-speech versus character-level representations for a word?"}
{"pair_id": "d2_s0592_N4_v4", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "Does the model use word-level and character-level representations in equal, static proportions for every word?"}
{"pair_id": "d2_s0592_N5_v1", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "For which words does the model rely most heavily on character-level representations?"}
{"pair_id": "d2_s0592_N6_v1", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "Why is it useful for the model to rely on character-level rather than word-level representations for some words?"}
{"pair_id": "d2_s0592_P1_v2", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "What lets the model choose how heavily to weight word-level or character-level representations for a word?"}
{"pair_id": "d2_s0592_P1_v3", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "How does the model work out the balance between word-level and character-level representations for each word?"}
{"pair_id": "d2_s0592_P1_v4", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "By what means does the model settle how much word-level versus character-level information to use for a word?"}
{"pair_id": "d2_s0592_P2_v2", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "Explain the mechanism by which the model sets its reliance on word-level versus character-level representations for a word."}
{"pair_id": "d2_s0592_P3_v1", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "how does the model decide how much to rely on word level vs char level reps for a word?"}
{"pair_id": "d2_s0592_P3_v3", "cached_question": "How does the model decide how much to rely on word-level versus character-level representations for a word?", "cached_answer": "It uses an attention mechanism that dynamically decides how much information to use from the word- or character-level component.", "new_query": "model deciding word vs char level representation per word — how does that work??"}
{"pair_id": "d2_s0596_N2_v1", "cached_question": "What are the two types of subcomponents that make up a QRNN layer, and how do they parallelize computation?", "cached_answer": "A QRNN layer alternates convolutional layers, which apply in parallel across timesteps, with a minimalist recurrent pooling function that applies in parallel across channels.", "new_query": "What are the two subcomponents that make up a QRNN layer's pooling function, and how do they parallelize?"}
{"pair_id": "d2_s0596_N2_v2", "cached_question": "What are the two types of subcomponents that make up a QRNN layer, and how do they parallelize computation?", "cached_answer": "A QRNN layer alternates convolutional layers, which apply in parallel across timesteps, with a minimalist recurrent pooling function that applies in parallel across channels.", "new_query": "What are the two types of subcomponents that make up a full QRNN encoder-decoder model, and how do they parallelize?"}
{"pair_id": "d2_s0596_N4_v1", "cached_question": "What are the two types of subcomponents that make up a QRNN layer, and how do they parallelize computation?", "cached_answer": "A QRNN layer alternates convolutional layers, which apply in parallel across timesteps, with a minimalist recurrent pooling function that applies in parallel across channels.", "new_query": "What are the two types of subcomponents in a QRNN layer, and how do they serialize computation?"}
{"pair_id": "d2_s0596_P1_v2", "cached_question": "What are the two types of subcomponents that make up a QRNN layer, and how do they parallelize computation?", "cached_answer": "A QRNN layer alternates convolutional layers, which apply in parallel across timesteps, with a minimalist recurrent pooling function that applies in parallel across channels.", "new_query": "What two subcomponent types constitute a QRNN layer, and how does each achieve parallelism?"}
