You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0843
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d5_s0160_N3_v1", "cached_question": "Tổng khối lượng học tập được công nhận, chuyển đổi tín chỉ tối đa là bao nhiêu phần trăm của chương trình đào tạo?", "cached_answer": "Không vượt quá 40% tổng khối lượng học tập của chương trình đào tạo mà người học đang theo học.", "new_query": "Tổng khối lượng học tập trực tuyến tối đa là bao nhiêu phần trăm của chương trình đào tạo?"}
{"pair_id": "d5_s0160_N3_v2", "cached_question": "Tổng khối lượng học tập được công nhận, chuyển đổi tín chỉ tối đa là bao nhiêu phần trăm của chương trình đào tạo?", "cached_answer": "Không vượt quá 40% tổng khối lượng học tập của chương trình đào tạo mà người học đang theo học.", "new_query": "Tổng khối lượng học tập được miễn giảm tối đa là bao nhiêu phần trăm của chương trình đào tạo?"}
{"pair_id": "d5_s0160_N4_v4", "cached_question": "Tổng khối lượng học tập được công nhận, chuyển đổi tín chỉ tối đa là bao nhiêu phần trăm của chương trình đào tạo?", "cached_answer": "Không vượt quá 40% tổng khối lượng học tập của chương trình đào tạo mà người học đang theo học.", "new_query": "Tổng khối lượng học tập không được công nhận, chuyển đổi chiếm tối thiểu bao nhiêu phần trăm chương trình đào tạo?"}
{"pair_id": "d5_s0160_P2_v1", "cached_question": "Tổng khối lượng học tập được công nhận, chuyển đổi tín chỉ tối đa là bao nhiêu phần trăm của chương trình đào tạo?", "cached_answer": "Không vượt quá 40% tổng khối lượng học tập của chương trình đào tạo mà người học đang theo học.", "new_query": "Chương trình đào tạo cho phép công nhận, chuyển đổi tín chỉ tối đa tới tỷ lệ phần trăm nào?"}
{"pair_id": "d5_s0160_P2_v3", "cached_question": "Tổng khối lượng học tập được công nhận, chuyển đổi tín chỉ tối đa là bao nhiêu phần trăm của chương trình đào tạo?", "cached_answer": "Không vượt quá 40% tổng khối lượng học tập của chương trình đào tạo mà người học đang theo học.", "new_query": "Tổng khối lượng được chuyển đổi, công nhận tín chỉ bằng tối đa bao nhiêu phần trăm chương trình người học đang theo học?"}
{"pair_id": "d5_s0160_P2_v4", "cached_question": "Tổng khối lượng học tập được công nhận, chuyển đổi tín chỉ tối đa là bao nhiêu phần trăm của chương trình đào tạo?", "cached_answer": "Không vượt quá 40% tổng khối lượng học tập của chương trình đào tạo mà người học đang theo học.", "new_query": "Tỷ lệ mà tổng khối lượng học tập được công nhận, chuyển đổi tín chỉ không được vượt quá là bao nhiêu?"}
{"pair_id": "d5_s0161_N1_v1", "cached_question": "Người học đại học hoặc thạc sĩ cần đáp ứng điều kiện gì để được đăng ký học trước một số học phần của chương trình đào tạo tiến sĩ?", "cached_answer": "Người học đại học phải tích lũy tối thiểu 70% khối lượng học tập với điểm trung bình chung tích lũy loại giỏi trở lên; người học thạc sĩ phải tích lũy tối thiểu 40% khối lượng học tập với điểm trung bình chung tích lũy loại khá trở lên. Tổng khối lượng được công nhận, chuyển đổi không vượt quá 25% chương trình đào tạo tiến sĩ.", "new_query": "Người học đại học hoặc thạc sĩ đăng ký học trước học phần của chương trình tiến sĩ theo thủ tục nào?"}
{"pair_id": "d5_s0161_N2_v1", "cached_question": "Người học đại học hoặc thạc sĩ cần đáp ứng điều kiện gì để được đăng ký học trước một số học phần của chương trình đào tạo tiến sĩ?", "cached_answer": "Người học đại học phải tích lũy tối thiểu 70% khối lượng học tập với điểm trung bình chung tích lũy loại giỏi trở lên; người học thạc sĩ phải tích lũy tối thiểu 40% khối lượng học tập với điểm trung bình chung tích lũy loại khá trở lên. Tổng khối lượng được công nhận, chuyển đổi không vượt quá 25% chương trình đào tạo tiến sĩ.", "new_query": "Người học thạc sĩ theo định hướng nghiên cứu cần điều kiện gì để học trước học phần chương trình tiến sĩ?"}
{"pair_id": "d5_s0161_N2_v2", "cached_question": "Người học đại học hoặc thạc sĩ cần đáp ứng điều kiện gì để được đăng ký học trước một số học phần của chương trình đào tạo tiến sĩ?", "cached_answer": "Người học đại học phải tích lũy tối thiểu 70% khối lượng học tập với điểm trung bình chung tích lũy loại giỏi trở lên; người học thạc sĩ phải tích lũy tối thiểu 40% khối lượng học tập với điểm trung bình chung tích lũy loại khá trở lên. Tổng khối lượng được công nhận, chuyển đổi không vượt quá 25% chương trình đào tạo tiến sĩ.", "new_query": "Điều kiện học trước học phần chương trình tiến sĩ đối với người học đại học hệ vừa làm vừa học là gì?"}
{"pair_id": "d5_s0161_N4_v1", "cached_question": "Người học đại học hoặc thạc sĩ cần đáp ứng điều kiện gì để được đăng ký học trước một số học phần của chương trình đào tạo tiến sĩ?", "cached_answer": "Người học đại học phải tích lũy tối thiểu 70% khối lượng học tập với điểm trung bình chung tích lũy loại giỏi trở lên; người học thạc sĩ phải tích lũy tối thiểu 40% khối lượng học tập với điểm trung bình chung tích lũy loại khá trở lên. Tổng khối lượng được công nhận, chuyển đổi không vượt quá 25% chương trình đào tạo tiến sĩ.", "new_query": "Người học đại học hoặc thạc sĩ trong trường hợp nào không được đăng ký học trước học phần của chương trình đào tạo tiến sĩ?"}
{"pair_id": "d5_s0161_P1_v1", "cached_question": "Người học đại học hoặc thạc sĩ cần đáp ứng điều kiện gì để được đăng ký học trước một số học phần của chương trình đào tạo tiến sĩ?", "cached_answer": "Người học đại học phải tích lũy tối thiểu 70% khối lượng học tập với điểm trung bình chung tích lũy loại giỏi trở lên; người học thạc sĩ phải tích lũy tối thiểu 40% khối lượng học tập với điểm trung bình chung tích lũy loại khá trở lên. Tổng khối lượng được công nhận, chuyển đổi không vượt quá 25% chương trình đào tạo tiến sĩ.", "new_query": "Điều kiện nào để sinh viên đại học hoặc học viên thạc sĩ được học trước một số học phần của chương trình tiến sĩ?"}
