You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0584
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0501_P2_v4", "cached_question": "What kind of classifier and features are used for drunk-texting prediction?", "cached_answer": "SVM-based classifiers are used, with N-gram features and stylistic features like capitalisation and spelling errors.", "new_query": "I'd like to know the classifier type and the features behind drunk-texting prediction."}
{"pair_id": "d2_s0501_P3_v1", "cached_question": "What kind of classifier and features are used for drunk-texting prediction?", "cached_answer": "SVM-based classifiers are used, with N-gram features and stylistic features like capitalisation and spelling errors.", "new_query": "what classifier n features r used for drunk-texting prediction?"}
{"pair_id": "d2_s0501_P3_v2", "cached_question": "What kind of classifier and features are used for drunk-texting prediction?", "cached_answer": "SVM-based classifiers are used, with N-gram features and stylistic features like capitalisation and spelling errors.", "new_query": "wat kind of clasifier and featurs used for drunk texting predction"}
{"pair_id": "d2_s0501_P3_v3", "cached_question": "What kind of classifier and features are used for drunk-texting prediction?", "cached_answer": "SVM-based classifiers are used, with N-gram features and stylistic features like capitalisation and spelling errors.", "new_query": "drunk texting prediction — which clf + features used??"}
{"pair_id": "d2_s0501_P3_v4", "cached_question": "What kind of classifier and features are used for drunk-texting prediction?", "cached_answer": "SVM-based classifiers are used, with N-gram features and stylistic features like capitalisation and spelling errors.", "new_query": "whats the classifier n what featurs for drunk-txting predicton"}
{"pair_id": "d2_s0506_N2_v1", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "What F-score did Civique achieve for the fire emergency category specifically?"}
{"pair_id": "d2_s0506_N3_v1", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "What precision scores did the Civique system achieve for emergency detection and for categorizing emergencies?"}
{"pair_id": "d2_s0506_N5_v3", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "At most what F-score did Civique reach for categorizing emergencies?"}
{"pair_id": "d2_s0506_N6_v1", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "Why is Civique's F-score for categorizing emergencies higher than for detecting them?"}
{"pair_id": "d2_s0506_P1_v1", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "Which F-scores did Civique reach for detecting emergencies and for classifying them into categories?"}
{"pair_id": "d2_s0506_P1_v2", "cached_question": "What F-scores did the Civique system achieve for emergency detection and for categorizing emergencies?", "cached_answer": "Civique's classifiers achieved F-scores exceeding 70% for emergency detection and exceeding 90% for categorization.", "new_query": "What F-measures did the Civique system obtain on emergency detection and on emergency categorization?"}
