You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0518
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d1_s0710_N4_v1", "cached_question": "When is Assignment 4 for Methods of Policy Analysis due?", "cached_answer": "Assignment 4, an open-ended assignment, is due at Session 17.", "new_query": "When is Assignment 4 for Methods of Policy Analysis handed out?"}
{"pair_id": "d1_s0710_N6_v2", "cached_question": "When is Assignment 4 for Methods of Policy Analysis due?", "cached_answer": "Assignment 4, an open-ended assignment, is due at Session 17.", "new_query": "How should Assignment 4 for Methods of Policy Analysis be submitted?"}
{"pair_id": "d1_s0710_P1_v4", "cached_question": "When is Assignment 4 for Methods of Policy Analysis due?", "cached_answer": "Assignment 4, an open-ended assignment, is due at Session 17.", "new_query": "When do students have to turn in Assignment 4 for Methods of Policy Analysis?"}
{"pair_id": "d1_s0710_P2_v2", "cached_question": "When is Assignment 4 for Methods of Policy Analysis due?", "cached_answer": "Assignment 4, an open-ended assignment, is due at Session 17.", "new_query": "Tell me the session by which Assignment 4 in Methods of Policy Analysis must be submitted."}
{"pair_id": "d1_s0710_P2_v3", "cached_question": "When is Assignment 4 for Methods of Policy Analysis due?", "cached_answer": "Assignment 4, an open-ended assignment, is due at Session 17.", "new_query": "I need the submission deadline of Methods of Policy Analysis Assignment 4."}
{"pair_id": "d1_s0710_P2_v4", "cached_question": "When is Assignment 4 for Methods of Policy Analysis due?", "cached_answer": "Assignment 4, an open-ended assignment, is due at Session 17.", "new_query": "For Methods of Policy Analysis, when does Assignment 4 need to be submitted?"}
{"pair_id": "d1_s0710_P3_v2", "cached_question": "When is Assignment 4 for Methods of Policy Analysis due?", "cached_answer": "Assignment 4, an open-ended assignment, is due at Session 17.", "new_query": "asgnmt 4 methods of policy analysis due when??"}
{"pair_id": "d1_s0711_N1_v1", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "What are the two options for Assignment 4 in Methods of Policy Analysis?"}
{"pair_id": "d1_s0711_N2_v1", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "Can a student get credit for completing both options of every assignment in Methods of Policy Analysis?"}
{"pair_id": "d1_s0711_N3_v1", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "Can a student get credit for completing both options of Assignment 3 in Methods of Policy Analysis?"}
{"pair_id": "d1_s0711_N5_v2", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "What is the minimum number of Assignment 4 options a student must complete in Methods of Policy Analysis?"}
{"pair_id": "d1_s0711_N5_v3", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "Is credit given only for the first Assignment 4 option submitted in Methods of Policy Analysis?"}
{"pair_id": "d1_s0711_P1_v3", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "Does doing both versions of Assignment 4 in Methods of Policy Analysis count for credit?"}
{"pair_id": "d1_s0711_P1_v4", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "In Methods of Policy Analysis, can both options of Assignment 4 be credited?"}
{"pair_id": "d1_s0711_P2_v1", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "Tell me whether credit is given for completing both options of Assignment 4 in Methods of Policy Analysis."}
{"pair_id": "d1_s0711_P2_v2", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "Assignment 4 in Methods of Policy Analysis has two options — is a student credited for completing both?"}
{"pair_id": "d1_s0711_P2_v3", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "I'd like to know if finishing both Assignment 4 options in Methods of Policy Analysis earns credit."}
{"pair_id": "d1_s0711_P2_v4", "cached_question": "Can a student get credit for completing both options of Assignment 4 in Methods of Policy Analysis?", "cached_answer": "No, students only get credit for doing one option, though they may still complete both if they find it useful.", "new_query": "For Methods of Policy Analysis, is Assignment 4 credit given per option completed?"}
