You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0809
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d4_s0780_P3_v1", "cached_question": "What proportion of people with alopecia universalis have a family member with alopecia?", "cached_answer": "Roughly 20% of affected people have a family member with alopecia, which suggests genetic factors may contribute to the condition.", "new_query": "wat % of ppl w alopecia universalis have a family member w alopecia"}
{"pair_id": "d4_s0784_N3_v1", "cached_question": "What percentage of Alport syndrome cases are caused by X-linked mutations in the COL4A5 gene, and how are the remaining cases inherited?", "cached_answer": "About 80% of Alport syndrome cases are inherited in an X-linked manner due to COL4A5 mutations. The remaining cases are inherited in an autosomal recessive or autosomal dominant manner and are caused by mutations in COL4A3 or COL4A4.", "new_query": "What percentage of Alport syndrome cases are caused by mutations in the COL4A3 gene, and how are the remaining cases inherited?"}
{"pair_id": "d4_s0784_N4_v3", "cached_question": "What percentage of Alport syndrome cases are caused by X-linked mutations in the COL4A5 gene, and how are the remaining cases inherited?", "cached_answer": "About 80% of Alport syndrome cases are inherited in an X-linked manner due to COL4A5 mutations. The remaining cases are inherited in an autosomal recessive or autosomal dominant manner and are caused by mutations in COL4A3 or COL4A4.", "new_query": "What percentage of Alport syndrome patients have an intact, rather than mutated, COL4A5 gene?"}
{"pair_id": "d4_s0784_N6_v1", "cached_question": "What percentage of Alport syndrome cases are caused by X-linked mutations in the COL4A5 gene, and how are the remaining cases inherited?", "cached_answer": "About 80% of Alport syndrome cases are inherited in an X-linked manner due to COL4A5 mutations. The remaining cases are inherited in an autosomal recessive or autosomal dominant manner and are caused by mutations in COL4A3 or COL4A4.", "new_query": "Why do males with X-linked COL4A5 mutations develop more severe Alport syndrome than females?"}
{"pair_id": "d4_s0784_N6_v2", "cached_question": "What percentage of Alport syndrome cases are caused by X-linked mutations in the COL4A5 gene, and how are the remaining cases inherited?", "cached_answer": "About 80% of Alport syndrome cases are inherited in an X-linked manner due to COL4A5 mutations. The remaining cases are inherited in an autosomal recessive or autosomal dominant manner and are caused by mutations in COL4A3 or COL4A4.", "new_query": "What is the chance that a mother with an X-linked COL4A5 mutation passes Alport syndrome to her son?"}
{"pair_id": "d4_s0784_P1_v2", "cached_question": "What percentage of Alport syndrome cases are caused by X-linked mutations in the COL4A5 gene, and how are the remaining cases inherited?", "cached_answer": "About 80% of Alport syndrome cases are inherited in an X-linked manner due to COL4A5 mutations. The remaining cases are inherited in an autosomal recessive or autosomal dominant manner and are caused by mutations in COL4A3 or COL4A4.", "new_query": "How often is Alport syndrome due to X-linked COL4A5 mutations, and what inheritance do the other cases follow?"}
{"pair_id": "d4_s0784_P2_v1", "cached_question": "What percentage of Alport syndrome cases are caused by X-linked mutations in the COL4A5 gene, and how are the remaining cases inherited?", "cached_answer": "About 80% of Alport syndrome cases are inherited in an X-linked manner due to COL4A5 mutations. The remaining cases are inherited in an autosomal recessive or autosomal dominant manner and are caused by mutations in COL4A3 or COL4A4.", "new_query": "Tell me the percentage of X-linked COL4A5-related Alport syndrome cases and the inheritance of the rest."}
{"pair_id": "d4_s0784_P2_v3", "cached_question": "What percentage of Alport syndrome cases are caused by X-linked mutations in the COL4A5 gene, and how are the remaining cases inherited?", "cached_answer": "About 80% of Alport syndrome cases are inherited in an X-linked manner due to COL4A5 mutations. The remaining cases are inherited in an autosomal recessive or autosomal dominant manner and are caused by mutations in COL4A3 or COL4A4.", "new_query": "I need a breakdown of Alport syndrome inheritance: the X-linked COL4A5 percentage plus the remaining patterns."}
{"pair_id": "d4_s0784_P2_v4", "cached_question": "What percentage of Alport syndrome cases are caused by X-linked mutations in the COL4A5 gene, and how are the remaining cases inherited?", "cached_answer": "About 80% of Alport syndrome cases are inherited in an X-linked manner due to COL4A5 mutations. The remaining cases are inherited in an autosomal recessive or autosomal dominant manner and are caused by mutations in COL4A3 or COL4A4.", "new_query": "In Alport syndrome, how are cases split between X-linked COL4A5 mutations and the other inheritance patterns?"}
{"pair_id": "d4_s0784_P3_v1", "cached_question": "What percentage of Alport syndrome cases are caused by X-linked mutations in the COL4A5 gene, and how are the remaining cases inherited?", "cached_answer": "About 80% of Alport syndrome cases are inherited in an X-linked manner due to COL4A5 mutations. The remaining cases are inherited in an autosomal recessive or autosomal dominant manner and are caused by mutations in COL4A3 or COL4A4.", "new_query": "what % of alport syndrome is x-linked COL4A5 n how r the rest inherited"}
{"pair_id": "d4_s0784_P3_v3", "cached_question": "What percentage of Alport syndrome cases are caused by X-linked mutations in the COL4A5 gene, and how are the remaining cases inherited?", "cached_answer": "About 80% of Alport syndrome cases are inherited in an X-linked manner due to COL4A5 mutations. The remaining cases are inherited in an autosomal recessive or autosomal dominant manner and are caused by mutations in COL4A3 or COL4A4.", "new_query": "how many percent alport cases from x-linkd col4a5 mutation, rest inheritd how"}
