You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0591
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0562_P3_v4", "cached_question": "According to the 2007 National Assessment Center survey, what proportion of gang members use the Internet heavily each week?", "cached_answer": "25% of individuals in gangs use the Internet for at least 4 hours a week.", "new_query": "2007 NAC survey: gang members heavy internet use each wk = what proportion?"}
{"pair_id": "d2_s0566_N1_v1", "cached_question": "How did the focus of the 2016 NIST Speaker Recognition Evaluation differ from previous years?", "cached_answer": "The 2016 evaluation marked a major shift from English towards Austronesian and Chinese languages, emphasizing speaker recognition technology that is robust to novel, heterogeneous languages with less training data.", "new_query": "What evaluation metric did the 2016 NIST Speaker Recognition Evaluation use?"}
{"pair_id": "d2_s0566_N2_v1", "cached_question": "How did the focus of the 2016 NIST Speaker Recognition Evaluation differ from previous years?", "cached_answer": "The 2016 evaluation marked a major shift from English towards Austronesian and Chinese languages, emphasizing speaker recognition technology that is robust to novel, heterogeneous languages with less training data.", "new_query": "How did the fixed training condition of the 2016 NIST Speaker Recognition Evaluation differ from previous years?"}
{"pair_id": "d2_s0566_N3_v1", "cached_question": "How did the focus of the 2016 NIST Speaker Recognition Evaluation differ from previous years?", "cached_answer": "The 2016 evaluation marked a major shift from English towards Austronesian and Chinese languages, emphasizing speaker recognition technology that is robust to novel, heterogeneous languages with less training data.", "new_query": "How did the focus of the 2012 NIST Speaker Recognition Evaluation differ from previous years?"}
{"pair_id": "d2_s0566_N3_v2", "cached_question": "How did the focus of the 2016 NIST Speaker Recognition Evaluation differ from previous years?", "cached_answer": "The 2016 evaluation marked a major shift from English towards Austronesian and Chinese languages, emphasizing speaker recognition technology that is robust to novel, heterogeneous languages with less training data.", "new_query": "How did the focus of the 2016 NIST Language Recognition Evaluation differ from previous years?"}
{"pair_id": "d2_s0566_N4_v1", "cached_question": "How did the focus of the 2016 NIST Speaker Recognition Evaluation differ from previous years?", "cached_answer": "The 2016 evaluation marked a major shift from English towards Austronesian and Chinese languages, emphasizing speaker recognition technology that is robust to novel, heterogeneous languages with less training data.", "new_query": "How did the focus of the 2016 NIST Speaker Recognition Evaluation stay the same as in previous years?"}
{"pair_id": "d2_s0566_P2_v2", "cached_question": "How did the focus of the 2016 NIST Speaker Recognition Evaluation differ from previous years?", "cached_answer": "The 2016 evaluation marked a major shift from English towards Austronesian and Chinese languages, emphasizing speaker recognition technology that is robust to novel, heterogeneous languages with less training data.", "new_query": "Describe the change in focus between the 2016 NIST Speaker Recognition Evaluation and the earlier ones."}
{"pair_id": "d2_s0566_P2_v3", "cached_question": "How did the focus of the 2016 NIST Speaker Recognition Evaluation differ from previous years?", "cached_answer": "The 2016 evaluation marked a major shift from English towards Austronesian and Chinese languages, emphasizing speaker recognition technology that is robust to novel, heterogeneous languages with less training data.", "new_query": "Tell me how the 2016 NIST Speaker Recognition Evaluation moved away from what previous years emphasized."}
{"pair_id": "d2_s0566_P3_v2", "cached_question": "How did the focus of the 2016 NIST Speaker Recognition Evaluation differ from previous years?", "cached_answer": "The 2016 evaluation marked a major shift from English towards Austronesian and Chinese languages, emphasizing speaker recognition technology that is robust to novel, heterogeneous languages with less training data.", "new_query": "2016 nist speaker recognition eval — whats different focus wise vs before??"}
{"pair_id": "d2_s0566_P3_v3", "cached_question": "How did the focus of the 2016 NIST Speaker Recognition Evaluation differ from previous years?", "cached_answer": "The 2016 evaluation marked a major shift from English towards Austronesian and Chinese languages, emphasizing speaker recognition technology that is robust to novel, heterogeneous languages with less training data.", "new_query": "how did teh focus of the 2016 NIST speaker recogntion evaluation difer from previus years"}
{"pair_id": "d2_s0567_N1_v1", "cached_question": "What speaker recognition approach does the Intelligent Voice (IV) system use?", "cached_answer": "It is based on the state-of-the-art i-vector/PLDA approach, developed on the fixed training condition.", "new_query": "What error rate does the Intelligent Voice (IV) system achieve on the speaker recognition task?"}
