You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0628
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0051_P3_v1", "cached_question": "What API should be used instead of ReactDOM.render in React 18?", "cached_answer": "createRoot should be used instead — ReactDOM.render is no longer supported in React 18.", "new_query": "what api shud i use instead of ReactDOM.render in react 18?"}
{"pair_id": "d3_s0051_P3_v3", "cached_question": "What API should be used instead of ReactDOM.render in React 18?", "cached_answer": "createRoot should be used instead — ReactDOM.render is no longer supported in React 18.", "new_query": "whats the api to use in place of ReactDOM.reder on React 18"}
{"pair_id": "d3_s0052_N2_v1", "cached_question": "What did unmountComponentAtNode get renamed to in React 18?", "cached_answer": "unmountComponentAtNode was changed to root.unmount.", "new_query": "What did unmountComponentAtNode get renamed to in React 18's react-dom/server build?"}
{"pair_id": "d3_s0052_N6_v2", "cached_question": "What did unmountComponentAtNode get renamed to in React 18?", "cached_answer": "unmountComponentAtNode was changed to root.unmount.", "new_query": "What breaks if you keep calling unmountComponentAtNode after upgrading to React 18?"}
{"pair_id": "d3_s0052_P1_v2", "cached_question": "What did unmountComponentAtNode get renamed to in React 18?", "cached_answer": "unmountComponentAtNode was changed to root.unmount.", "new_query": "Which API replaced unmountComponentAtNode in React 18?"}
{"pair_id": "d3_s0052_P2_v1", "cached_question": "What did unmountComponentAtNode get renamed to in React 18?", "cached_answer": "unmountComponentAtNode was changed to root.unmount.", "new_query": "Tell me the React 18 replacement name for unmountComponentAtNode."}
{"pair_id": "d3_s0052_P2_v3", "cached_question": "What did unmountComponentAtNode get renamed to in React 18?", "cached_answer": "unmountComponentAtNode was changed to root.unmount.", "new_query": "I'm upgrading to React 18 — what should calls to unmountComponentAtNode be changed to?"}
{"pair_id": "d3_s0052_P2_v4", "cached_question": "What did unmountComponentAtNode get renamed to in React 18?", "cached_answer": "unmountComponentAtNode was changed to root.unmount.", "new_query": "The React 18 rename of unmountComponentAtNode produced which API?"}
{"pair_id": "d3_s0052_P3_v3", "cached_question": "What did unmountComponentAtNode get renamed to in React 18?", "cached_answer": "unmountComponentAtNode was changed to root.unmount.", "new_query": "unmountComponentAtNode new name in react 18 plz"}
{"pair_id": "d3_s0053_N1_v2", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "In which React version will the deprecated Node streaming API be fully removed?"}
{"pair_id": "d3_s0053_N2_v1", "cached_question": "Which server rendering API is deprecated in React 18, and what should be used instead for streaming in Node environments?", "cached_answer": "renderToNodeStream is deprecated in React 18; for streaming in Node environments, renderToPipeableStream should be used instead.", "new_query": "Which server rendering APIs are deprecated in React 18 across all environments, not just Node?"}
