You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0592
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0573_N6_v1", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "Why do PubMed users click on related articles after running a search?"}
{"pair_id": "d2_s0573_P2_v1", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "Tell me the percentage of PubMed searches that include at least one click on a related article."}
{"pair_id": "d2_s0573_P2_v3", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "Out of all PubMed searches performed by users, how many percent involve a related-article click?"}
{"pair_id": "d2_s0573_P2_v4", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "I need the figure for how many PubMed searches produce at least one related-article click."}
{"pair_id": "d2_s0573_P3_v1", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "what % of pubmed searches result in at least 1 click on a related article?"}
{"pair_id": "d2_s0573_P3_v2", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "pubmed searches w/ atleast one click on a related artcle — what percentage?"}
{"pair_id": "d2_s0573_P3_v4", "cached_question": "What percentage of PubMed searches result in at least one click on a related article?", "cached_answer": "19% of all PubMed searches performed by users have at least one click on a related article.", "new_query": "pct of pubmed searches with >=1 related article click??"}
{"pair_id": "d2_s0574_N1_v1", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Which features did the study use for its supervised learning-to-rank models?"}
{"pair_id": "d2_s0574_N2_v1", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Among the tree-based supervised learning-to-rank models, which performed best in the study and how did it compare to baselines?"}
{"pair_id": "d2_s0574_N2_v2", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Which supervised learning-to-rank model performed best on the long-tail queries, and how did it compare to baselines?"}
{"pair_id": "d2_s0574_N3_v1", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to the unsupervised approaches?"}
{"pair_id": "d2_s0574_N3_v2", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Which supervised text classification model did the study find performed best, and how did it compare to baselines?"}
{"pair_id": "d2_s0574_N4_v2", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Which baseline systems did the best supervised learning-to-rank model fall behind on in the study?"}
{"pair_id": "d2_s0574_N4_v3", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Which unsupervised learning-to-rank model did the study find performed best, and how did it compare to baselines?"}
{"pair_id": "d2_s0574_N5_v1", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Which supervised learning-to-rank model did the study find performed worst, and how did it compare to baselines?"}
{"pair_id": "d2_s0574_N5_v2", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Which supervised learning-to-rank model gave the smallest improvement over the baseline systems in the study?"}
{"pair_id": "d2_s0574_P1_v1", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Which supervised learning-to-rank model came out on top in the study, and how did it fare against the baselines?"}
{"pair_id": "d2_s0574_P1_v2", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "What was the top-performing supervised learning-to-rank model in the study, and how did it stack up against baseline systems?"}
{"pair_id": "d2_s0574_P1_v3", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Which supervised ranking model did the study identify as strongest, and what was its performance relative to the baselines?"}
{"pair_id": "d2_s0574_P1_v4", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "According to the study, which supervised learning-to-rank approach worked best, and how did its results compare with baseline methods?"}
{"pair_id": "d2_s0574_P2_v2", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Tell me the best supervised learning-to-rank model from the study and its comparison against baseline systems."}
{"pair_id": "d2_s0574_P2_v3", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "Among the supervised learning-to-rank models evaluated, which was found best by the study, and how was it positioned against baselines?"}
{"pair_id": "d2_s0574_P2_v4", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "I want to know which supervised learning-to-rank model won in the study and what the comparison to baselines looked like."}
{"pair_id": "d2_s0574_P3_v3", "cached_question": "Which supervised learning-to-rank model did the study find performed best, and how did it compare to baselines?", "cached_answer": "SVM-Rank was the best supervised learning-to-rank model, and it significantly surpassed state-of-the-art baseline systems.", "new_query": "whats the best supervised learning to rank model the study found and how did it do agains baselines"}
{"pair_id": "d2_s0578_N1_v1", "cached_question": "What two shortcomings of current encoder-decoder models does this summarization paper address?", "cached_answer": "Encoders build word representations using only the words read so far (yielding suboptimal representations), and decoders use large vocabularies to reduce unknown-word issues, which makes decoding slow.", "new_query": "How does this summarization paper's proposed model fix those encoder-decoder shortcomings?"}
{"pair_id": "d2_s0578_N2_v1", "cached_question": "What two shortcomings of current encoder-decoder models does this summarization paper address?", "cached_answer": "Encoders build word representations using only the words read so far (yielding suboptimal representations), and decoders use large vocabularies to reduce unknown-word issues, which makes decoding slow.", "new_query": "What shortcoming of the encoder alone does this summarization paper address?"}
{"pair_id": "d2_s0578_N3_v2", "cached_question": "What two shortcomings of current encoder-decoder models does this summarization paper address?", "cached_answer": "Encoders build word representations using only the words read so far (yielding suboptimal representations), and decoders use large vocabularies to reduce unknown-word issues, which makes decoding slow.", "new_query": "What two shortcomings of current encoder-decoder models does this machine translation paper address?"}
{"pair_id": "d2_s0578_N4_v1", "cached_question": "What two shortcomings of current encoder-decoder models does this summarization paper address?", "cached_answer": "Encoders build word representations using only the words read so far (yielding suboptimal representations), and decoders use large vocabularies to reduce unknown-word issues, which makes decoding slow.", "new_query": "What two strengths of current encoder-decoder models does this summarization paper build on?"}
{"pair_id": "d2_s0578_N5_v1", "cached_question": "What two shortcomings of current encoder-decoder models does this summarization paper address?", "cached_answer": "Encoders build word representations using only the words read so far (yielding suboptimal representations), and decoders use large vocabularies to reduce unknown-word issues, which makes decoding slow.", "new_query": "What is the single most severe encoder-decoder shortcoming this summarization paper addresses?"}
{"pair_id": "d2_s0578_P1_v2", "cached_question": "What two shortcomings of current encoder-decoder models does this summarization paper address?", "cached_answer": "Encoders build word representations using only the words read so far (yielding suboptimal representations), and decoders use large vocabularies to reduce unknown-word issues, which makes decoding slow.", "new_query": "What are the two limitations of current encoder-decoder architectures that this summarization work aims to fix?"}
{"pair_id": "d2_s0578_P1_v3", "cached_question": "What two shortcomings of current encoder-decoder models does this summarization paper address?", "cached_answer": "Encoders build word representations using only the words read so far (yielding suboptimal representations), and decoders use large vocabularies to reduce unknown-word issues, which makes decoding slow.", "new_query": "This summarization paper targets two drawbacks of present-day encoder-decoder models — what are they?"}
{"pair_id": "d2_s0578_P1_v4", "cached_question": "What two shortcomings of current encoder-decoder models does this summarization paper address?", "cached_answer": "Encoders build word representations using only the words read so far (yielding suboptimal representations), and decoders use large vocabularies to reduce unknown-word issues, which makes decoding slow.", "new_query": "What two problems with today's encoder-decoder summarization models does the paper set out to solve?"}
{"pair_id": "d2_s0578_P2_v3", "cached_question": "What two shortcomings of current encoder-decoder models does this summarization paper address?", "cached_answer": "Encoders build word representations using only the words read so far (yielding suboptimal representations), and decoders use large vocabularies to reduce unknown-word issues, which makes decoding slow.", "new_query": "Could you list the two encoder-decoder shortcomings this summarization paper deals with?"}
{"pair_id": "d2_s0578_P3_v4", "cached_question": "What two shortcomings of current encoder-decoder models does this summarization paper address?", "cached_answer": "Encoders build word representations using only the words read so far (yielding suboptimal representations), and decoders use large vocabularies to reduce unknown-word issues, which makes decoding slow.", "new_query": "TWO shortcomings of currnt encoder decoder models addressed in this summarizatin paper?"}
{"pair_id": "d2_s0579_P1_v4", "cached_question": "What does the 'Read-Again' mechanism proposed in the paper do?", "cached_answer": "It reads the input sequence first before committing to a representation of each word, so the representation captures more context than a single left-to-right pass.", "new_query": "Can you explain what the 'Read-Again' method put forward in the paper does?"}
{"pair_id": "d2_s0579_P2_v1", "cached_question": "What does the 'Read-Again' mechanism proposed in the paper do?", "cached_answer": "It reads the input sequence first before committing to a representation of each word, so the representation captures more context than a single left-to-right pass.", "new_query": "Describe the behaviour of the 'Read-Again' mechanism proposed in the paper."}
{"pair_id": "d2_s0579_P2_v4", "cached_question": "What does the 'Read-Again' mechanism proposed in the paper do?", "cached_answer": "It reads the input sequence first before committing to a representation of each word, so the representation captures more context than a single left-to-right pass.", "new_query": "I'd like an explanation of the operation of the paper's proposed 'Read-Again' mechanism."}
{"pair_id": "d2_s0579_P3_v1", "cached_question": "What does the 'Read-Again' mechanism proposed in the paper do?", "cached_answer": "It reads the input sequence first before committing to a representation of each word, so the representation captures more context than a single left-to-right pass.", "new_query": "what does the read-again mechanism in the paper do?"}
{"pair_id": "d2_s0579_P3_v2", "cached_question": "What does the 'Read-Again' mechanism proposed in the paper do?", "cached_answer": "It reads the input sequence first before committing to a representation of each word, so the representation captures more context than a single left-to-right pass.", "new_query": "read again mechanism proposed in the papr — what does it actualy do??"}
