You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0018
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d1_s0110_N3_v2", "cached_question": "In which lecture of the 1.018J course calendar is the term project assigned?", "cached_answer": "The term project is assigned in Lecture 1, which covers the introduction to ecology.", "new_query": "In which lecture of the 1.018J course calendar is problem set 1 assigned?"}
{"pair_id": "d1_s0110_N6_v2", "cached_question": "In which lecture of the 1.018J course calendar is the term project assigned?", "cached_answer": "The term project is assigned in Lecture 1, which covers the introduction to ecology.", "new_query": "What else does Lecture 1 of the 1.018J course calendar cover besides assigning the term project?"}
{"pair_id": "d1_s0110_P2_v2", "cached_question": "In which lecture of the 1.018J course calendar is the term project assigned?", "cached_answer": "The term project is assigned in Lecture 1, which covers the introduction to ecology.", "new_query": "Tell me which 1.018J lecture the term project is assigned in."}
{"pair_id": "d1_s0110_P2_v4", "cached_question": "In which lecture of the 1.018J course calendar is the term project assigned?", "cached_answer": "The term project is assigned in Lecture 1, which covers the introduction to ecology.", "new_query": "I want to know the lecture number in which 1.018J assigns the term project."}
{"pair_id": "d1_s0110_P3_v2", "cached_question": "In which lecture of the 1.018J course calendar is the term project assigned?", "cached_answer": "The term project is assigned in Lecture 1, which covers the introduction to ecology.", "new_query": "1.018j — term project assigned in which lecture??"}
{"pair_id": "d1_s0110_P3_v4", "cached_question": "In which lecture of the 1.018J course calendar is the term project assigned?", "cached_answer": "The term project is assigned in Lecture 1, which covers the introduction to ecology.", "new_query": "1.018j term project = assigned at lecture #?"}
{"pair_id": "d1_s0111_N1_v1", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "What does the Lecture 4 CI lecture on getting started with the term project cover?"}
{"pair_id": "d1_s0111_N1_v2", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "How long is the CI lecture on getting started with the term project in Lecture 4?"}
{"pair_id": "d1_s0111_N2_v2", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "Who leads the Q&A portion of the Lecture 4 CI session on the term project, and what is their affiliation?"}
{"pair_id": "d1_s0111_N3_v1", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "Who gives the CI lecture on getting started with the term project in Lecture 5, and what is their affiliation?"}
{"pair_id": "d1_s0111_N3_v2", "cached_question": "Who gives the CI lecture on getting started with the term project in Lecture 4, and what is their affiliation?", "cached_answer": "Harlan Breindel, from the MIT Writing Center, gives the CI lecture on getting started with the term project.", "new_query": "Who gives the CI lecture on peer review of the term project in Lecture 4, and what is their affiliation?"}
