You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0644
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0169_P2_v1", "cached_question": "What DIRS setting is used to override templates from the project's templates directory in the example?", "cached_answer": "DIRS is set to [BASE_DIR / \"templates\"], with the override files placed at templates/blog/list.html and templates/blog/post.html.", "new_query": "Show me the DIRS setting the example uses for overriding templates from the project's templates directory."}
{"pair_id": "d3_s0169_P2_v4", "cached_question": "What DIRS setting is used to override templates from the project's templates directory in the example?", "cached_answer": "DIRS is set to [BASE_DIR / \"templates\"], with the override files placed at templates/blog/list.html and templates/blog/post.html.", "new_query": "Which DIRS entry has to be present for the example's project templates directory to override templates?"}
{"pair_id": "d3_s0169_P3_v2", "cached_question": "What DIRS setting is used to override templates from the project's templates directory in the example?", "cached_answer": "DIRS is set to [BASE_DIR / \"templates\"], with the override files placed at templates/blog/list.html and templates/blog/post.html.", "new_query": "in the example whats DIRS set to for overriding templates frm the project templates directory"}
{"pair_id": "d3_s0172_N2_v2", "cached_question": "What are the two basic steps for putting Django static files into production?", "cached_answer": "Run the collectstatic command whenever static files change, then move the collected STATIC_ROOT directory to the static file server so it can be served.", "new_query": "What are the basic steps for putting an entire Django project into production?"}
{"pair_id": "d3_s0172_N3_v1", "cached_question": "What are the two basic steps for putting Django static files into production?", "cached_answer": "Run the collectstatic command whenever static files change, then move the collected STATIC_ROOT directory to the static file server so it can be served.", "new_query": "What are the two basic steps for putting Django media files into production?"}
{"pair_id": "d3_s0172_N4_v1", "cached_question": "What are the two basic steps for putting Django static files into production?", "cached_answer": "Run the collectstatic command whenever static files change, then move the collected STATIC_ROOT directory to the static file server so it can be served.", "new_query": "What are the two basic steps for taking Django static files out of production?"}
{"pair_id": "d3_s0172_N6_v2", "cached_question": "What are the two basic steps for putting Django static files into production?", "cached_answer": "Run the collectstatic command whenever static files change, then move the collected STATIC_ROOT directory to the static file server so it can be served.", "new_query": "Given the two basic steps for Django static files in production, how do you serve the collected files from a CDN?"}
{"pair_id": "d3_s0172_P2_v3", "cached_question": "What are the two basic steps for putting Django static files into production?", "cached_answer": "Run the collectstatic command whenever static files change, then move the collected STATIC_ROOT directory to the static file server so it can be served.", "new_query": "I'm deploying a Django site — walk me through the two basic steps for static files in production."}
{"pair_id": "d3_s0172_P3_v2", "cached_question": "What are the two basic steps for putting Django static files into production?", "cached_answer": "Run the collectstatic command whenever static files change, then move the collected STATIC_ROOT directory to the static file server so it can be served.", "new_query": "django static files in prod — the 2 basic steps??"}
{"pair_id": "d3_s0172_P3_v4", "cached_question": "What are the two basic steps for putting Django static files into production?", "cached_answer": "Run the collectstatic command whenever static files change, then move the collected STATIC_ROOT directory to the static file server so it can be served.", "new_query": "2 basic steps for deploying django staticfiles to prod, wat r they"}
{"pair_id": "d3_s0173_N2_v1", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "When serving static files from the same server that runs the Django site, what does the collectstatic step of that deployment process involve?"}
{"pair_id": "d3_s0173_N2_v2", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "When serving both static and user-uploaded media files from the same server that runs the Django site, what steps make up the deployment process?"}
{"pair_id": "d3_s0173_N3_v2", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "When serving static files from a cloud storage service rather than the server that runs the Django site, what three steps make up the deployment process?"}
{"pair_id": "d3_s0173_N4_v1", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "When static files are not served from the server that runs the Django site, what three steps make up the deployment process?"}
{"pair_id": "d3_s0173_N5_v1", "cached_question": "When serving static files from the same server that runs the Django site, what three steps make up the deployment process?", "cached_answer": "Push the code to the deployment server, run collectstatic on the server to copy files into STATIC_ROOT, then configure the web server to serve the STATIC_ROOT files under the STATIC_URL.", "new_query": "When serving static files from the same server that runs the Django site, what is the first step of the deployment process?"}
