You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0609
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0738_N2_v1", "cached_question": "In what year did the first MUC challenge take place, marking an early milestone in NER research?", "cached_answer": "1995.", "new_query": "In what month did the first MUC challenge take place, marking an early milestone in NER research?"}
{"pair_id": "d2_s0738_N6_v1", "cached_question": "In what year did the first MUC challenge take place, marking an early milestone in NER research?", "cached_answer": "1995.", "new_query": "Why is the first MUC challenge considered an early milestone in NER research?"}
{"pair_id": "d2_s0738_P2_v1", "cached_question": "In what year did the first MUC challenge take place, marking an early milestone in NER research?", "cached_answer": "1995.", "new_query": "Tell me the year of the first MUC challenge, an early milestone in NER research."}
{"pair_id": "d2_s0738_P2_v3", "cached_question": "In what year did the first MUC challenge take place, marking an early milestone in NER research?", "cached_answer": "1995.", "new_query": "Give the year in which the first MUC challenge, an early NER research milestone, was organized."}
{"pair_id": "d2_s0738_P2_v4", "cached_question": "In what year did the first MUC challenge take place, marking an early milestone in NER research?", "cached_answer": "1995.", "new_query": "I am looking for the year the first MUC challenge, an early NER milestone, was run."}
{"pair_id": "d2_s0738_P3_v3", "cached_question": "In what year did the first MUC challenge take place, marking an early milestone in NER research?", "cached_answer": "1995.", "new_query": "year of the 1st MUC challange - early ner research milestone??"}
{"pair_id": "d2_s0738_P3_v4", "cached_question": "In what year did the first MUC challenge take place, marking an early milestone in NER research?", "cached_answer": "1995.", "new_query": "in wht year did the first muc challenge happen (early ner milestone)"}
{"pair_id": "d2_s0739_N3_v1", "cached_question": "What examples does the paper give of named entities with unusual surface forms that make NER recall difficult?", "cached_answer": "'Szeged' as an unusual character sequence in an English-language document, and 'the White House', where individually common words form a named entity only when combined.", "new_query": "What examples does the paper give of named entities with unusual surface forms that make NER precision difficult?"}
{"pair_id": "d2_s0739_N3_v2", "cached_question": "What examples does the paper give of named entities with unusual surface forms that make NER recall difficult?", "cached_answer": "'Szeged' as an unusual character sequence in an English-language document, and 'the White House', where individually common words form a named entity only when combined.", "new_query": "What examples does the paper give of named entities with unusual surface forms that make coreference resolution difficult?"}
{"pair_id": "d2_s0739_N5_v4", "cached_question": "What examples does the paper give of named entities with unusual surface forms that make NER recall difficult?", "cached_answer": "'Szeged' as an unusual character sequence in an English-language document, and 'the White House', where individually common words form a named entity only when combined.", "new_query": "How many examples of named entities with unusual surface forms does the paper give?"}
{"pair_id": "d2_s0739_P1_v1", "cached_question": "What examples does the paper give of named entities with unusual surface forms that make NER recall difficult?", "cached_answer": "'Szeged' as an unusual character sequence in an English-language document, and 'the White House', where individually common words form a named entity only when combined.", "new_query": "Which examples of named entities with atypical surface forms does the paper cite as harming NER recall?"}
