You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0770
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d4_s0440_N5_v1", "cached_question": "What are the three pairs of major salivary glands?", "cached_answer": "The three pairs of major salivary glands are the parotid glands, sublingual glands, and submandibular glands.", "new_query": "Which of the three pairs of major salivary glands is the largest?"}
{"pair_id": "d4_s0440_P1_v2", "cached_question": "What are the three pairs of major salivary glands?", "cached_answer": "The three pairs of major salivary glands are the parotid glands, sublingual glands, and submandibular glands.", "new_query": "Can you name the three pairs of large salivary glands?"}
{"pair_id": "d4_s0440_P2_v1", "cached_question": "What are the three pairs of major salivary glands?", "cached_answer": "The three pairs of major salivary glands are the parotid glands, sublingual glands, and submandibular glands.", "new_query": "Name the three pairs of major salivary glands."}
{"pair_id": "d4_s0440_P2_v3", "cached_question": "What are the three pairs of major salivary glands?", "cached_answer": "The three pairs of major salivary glands are the parotid glands, sublingual glands, and submandibular glands.", "new_query": "I would like the three pairs of major salivary glands listed."}
{"pair_id": "d4_s0440_P2_v4", "cached_question": "What are the three pairs of major salivary glands?", "cached_answer": "The three pairs of major salivary glands are the parotid glands, sublingual glands, and submandibular glands.", "new_query": "Tell me which glands make up the three pairs of major salivary glands."}
{"pair_id": "d4_s0440_P3_v3", "cached_question": "What are the three pairs of major salivary glands?", "cached_answer": "The three pairs of major salivary glands are the parotid glands, sublingual glands, and submandibular glands.", "new_query": "3 pairs of major salivry glands - what r they? thx"}
{"pair_id": "d4_s0441_N3_v2", "cached_question": "Which salivary gland is the largest, where is it located, and where do most major salivary gland tumors begin?", "cached_answer": "The parotid glands are the largest salivary glands, located in front of and just below each ear, and most major salivary gland tumors begin in this gland.", "new_query": "Which salivary gland is the largest, where is it located, and where do most salivary gland stones form?"}
{"pair_id": "d4_s0441_N4_v1", "cached_question": "Which salivary gland is the largest, where is it located, and where do most major salivary gland tumors begin?", "cached_answer": "The parotid glands are the largest salivary glands, located in front of and just below each ear, and most major salivary gland tumors begin in this gland.", "new_query": "Which salivary gland is the largest, where is it located, and in which major salivary gland do tumors seldom begin?"}
{"pair_id": "d4_s0441_N4_v3", "cached_question": "Which salivary gland is the largest, where is it located, and where do most major salivary gland tumors begin?", "cached_answer": "The parotid glands are the largest salivary glands, located in front of and just below each ear, and most major salivary gland tumors begin in this gland.", "new_query": "Which salivary gland lies behind the ear, and where do most major salivary gland tumors begin?"}
{"pair_id": "d4_s0441_N5_v1", "cached_question": "Which salivary gland is the largest, where is it located, and where do most major salivary gland tumors begin?", "cached_answer": "The parotid glands are the largest salivary glands, located in front of and just below each ear, and most major salivary gland tumors begin in this gland.", "new_query": "Which salivary gland is the smallest, where is it located, and where do most major salivary gland tumors begin?"}
{"pair_id": "d4_s0441_P2_v2", "cached_question": "Which salivary gland is the largest, where is it located, and where do most major salivary gland tumors begin?", "cached_answer": "The parotid glands are the largest salivary glands, located in front of and just below each ear, and most major salivary gland tumors begin in this gland.", "new_query": "I want the largest salivary gland identified, its location described, and the usual starting site of major salivary gland tumors."}
