You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0613
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0770_P2_v1", "cached_question": "How many tweets remained in the final hate speech corpus after all filtering steps?", "cached_answer": "The final corpus consists of 541 tweets, none of which are duplicates, contain links or pictures, or are retweets or replies.", "new_query": "Tell me the tweet count of the hate speech corpus that remained after all filtering steps."}
{"pair_id": "d2_s0770_P2_v3", "cached_question": "How many tweets remained in the final hate speech corpus after all filtering steps?", "cached_answer": "The final corpus consists of 541 tweets, none of which are duplicates, contain links or pictures, or are retweets or replies.", "new_query": "All filtering steps were applied - what was the resulting tweet count in the hate speech corpus?"}
{"pair_id": "d2_s0770_P3_v3", "cached_question": "How many tweets remained in the final hate speech corpus after all filtering steps?", "cached_answer": "The final corpus consists of 541 tweets, none of which are duplicates, contain links or pictures, or are retweets or replies.", "new_query": "hw many tweets remaind in the finall hate speach corpus aftr all the filtering steps"}
{"pair_id": "d2_s0770_P3_v4", "cached_question": "How many tweets remained in the final hate speech corpus after all filtering steps?", "cached_answer": "The final corpus consists of 541 tweets, none of which are duplicates, contain links or pictures, or are retweets or replies.", "new_query": "no. of tweets in the final hate speech corpus post-filtering, anyone?"}
{"pair_id": "d2_s0771_N2_v1", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "In the preliminary step of the study, how many annotators rated the ambiguous tweets, and what did they find?"}
{"pair_id": "d2_s0771_N2_v2", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "Across the whole study, not just the preliminary step, how many annotators rated how many tweets?"}
{"pair_id": "d2_s0771_N3_v2", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "In the preliminary step of the study, how many annotators rated how many blog posts, and what did they find?"}
{"pair_id": "d2_s0771_N4_v1", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "In the preliminary step of the study, how many annotators declined to rate tweets?"}
{"pair_id": "d2_s0771_N4_v2", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "In the preliminary step of the study, how many tweets were left unrated by the annotators?"}
{"pair_id": "d2_s0771_N5_v1", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "In the preliminary step of the study, what was the smallest number of tweets rated by a single annotator?"}
{"pair_id": "d2_s0771_N5_v2", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "In the preliminary step of the study, which annotator rated the most tweets?"}
{"pair_id": "d2_s0771_P1_v3", "cached_question": "In the preliminary step of the study, how many annotators rated how many tweets, and what did they find?", "cached_answer": "Six annotators rated 469 tweets, and the researchers found that agreement among them was very low.", "new_query": "In the initial step of the study, how many raters scored how many tweets, and what did the researchers discover?"}
