You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0646
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0191_P3_v4", "cached_question": "Which Python and Windows versions does Django's Windows installation guide target?", "cached_answer": "The guide covers installing Python 3.14 (the latest version at time of writing) and Django on Windows, with steps tested on Windows 10.", "new_query": "django install guide windows: which python n windows ver does it target"}
{"pair_id": "d3_s0192_N1_v1", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "Per the Django install guide, how do you deactivate the 'project-name' virtual environment on Windows?"}
{"pair_id": "d3_s0192_N1_v2", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "Per the Django install guide, which command installs Django inside the 'project-name' virtual environment on Windows?"}
{"pair_id": "d3_s0192_N2_v1", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "Per the Django install guide, what command only activates the already-created 'project-name' environment on Windows?"}
{"pair_id": "d3_s0192_N3_v1", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "What commands create and activate a virtual environment named 'project-name' on macOS, per the Django install guide?"}
{"pair_id": "d3_s0192_N3_v2", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "What commands create and activate a virtual environment named 'my-site' on Windows, per the Django install guide?"}
{"pair_id": "d3_s0192_N4_v1", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "What command deletes the virtual environment named 'project-name' on Windows, per the Django install guide?"}
{"pair_id": "d3_s0192_N4_v2", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "What command deactivates the 'project-name' virtual environment on Windows, per the Django install guide?"}
{"pair_id": "d3_s0192_N5_v1", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "Per the Django install guide, what is the first command to run when setting up the 'project-name' virtual environment on Windows?"}
{"pair_id": "d3_s0192_N5_v2", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "Per the Django install guide, what is the last command to run to get 'project-name' active on Windows?"}
{"pair_id": "d3_s0192_P1_v2", "cached_question": "What commands create and activate a virtual environment named 'project-name' on Windows, per the Django install guide?", "cached_answer": "Create it with `py -m venv project-name`, then activate it with `project-name\\Scripts\\activate.bat`.", "new_query": "What are the Windows commands for making and enabling a virtualenv named 'project-name', as the Django install docs describe?"}
