You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0598
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d2_s0628_P1_v2", "cached_question": "What normalization constraint does TransE impose on entity embeddings h and t?", "cached_answer": "TransE requires ||h||²₂ = ||t||²₂ = 1.", "new_query": "What norm constraint does TransE enforce on the entity vectors h and t?"}
{"pair_id": "d2_s0628_P1_v3", "cached_question": "What normalization constraint does TransE impose on entity embeddings h and t?", "cached_answer": "TransE requires ||h||²₂ = ||t||²₂ = 1.", "new_query": "How does TransE constrain the norms of the entity embeddings h and t?"}
{"pair_id": "d2_s0628_P1_v4", "cached_question": "What normalization constraint does TransE impose on entity embeddings h and t?", "cached_answer": "TransE requires ||h||²₂ = ||t||²₂ = 1.", "new_query": "What restriction on the length of the entity embeddings h and t does TransE apply?"}
{"pair_id": "d2_s0628_P2_v1", "cached_question": "What normalization constraint does TransE impose on entity embeddings h and t?", "cached_answer": "TransE requires ||h||²₂ = ||t||²₂ = 1.", "new_query": "State the normalization constraint TransE imposes on the entity embeddings h and t."}
{"pair_id": "d2_s0628_P2_v4", "cached_question": "What normalization constraint does TransE impose on entity embeddings h and t?", "cached_answer": "TransE requires ||h||²₂ = ||t||²₂ = 1.", "new_query": "I need the normalization condition that TransE requires of the entity embeddings h and t."}
{"pair_id": "d2_s0628_P3_v3", "cached_question": "What normalization constraint does TransE impose on entity embeddings h and t?", "cached_answer": "TransE requires ||h||²₂ = ||t||²₂ = 1.", "new_query": "what normalizaton constraint doe TransE put on the entity embedings h and t"}
{"pair_id": "d2_s0629_N1_v1", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "How are the neural models for encoding entity text descriptions trained in this paper?"}
{"pair_id": "d2_s0629_N2_v1", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "How many attentive neural models does this paper introduce for encoding entity text descriptions?"}
{"pair_id": "d2_s0629_N2_v2", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "How many models in total, neural and non-neural, does this paper introduce for encoding entity descriptions?"}
{"pair_id": "d2_s0629_N3_v1", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "How many neural models does this paper introduce for encoding relation text descriptions, and what is special about one of them?"}
{"pair_id": "d2_s0629_N3_v2", "cached_question": "How many neural models does this paper introduce for encoding entity text descriptions, and what is special about one of them?", "cached_answer": "The paper introduces three neural models; one is an attentive model that can select related information from the text as needed.", "new_query": "How many neural models does this paper introduce for encoding entity names, and what is special about one of them?"}
