You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0648
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0210_P2_v3", "cached_question": "At what WCAG version and conformance level does Django aim to comply for accessibility?", "cached_answer": "Django aims to conform with WCAG version 2.2 at the AA level.", "new_query": "I'm auditing accessibility — which WCAG version and level does Django aim to satisfy?"}
{"pair_id": "d3_s0210_P2_v4", "cached_question": "At what WCAG version and conformance level does Django aim to comply for accessibility?", "cached_answer": "Django aims to conform with WCAG version 2.2 at the AA level.", "new_query": "The WCAG version and conformance level Django targets for accessibility is what?"}
{"pair_id": "d3_s0210_P3_v1", "cached_question": "At what WCAG version and conformance level does Django aim to comply for accessibility?", "cached_answer": "Django aims to conform with WCAG version 2.2 at the AA level.", "new_query": "at what wcag version and conformance level does django aim to comply for accessibility"}
{"pair_id": "d3_s0210_P3_v2", "cached_question": "At what WCAG version and conformance level does Django aim to comply for accessibility?", "cached_answer": "Django aims to conform with WCAG version 2.2 at the AA level.", "new_query": "django accessibility — which wcag ver + level does it target??"}
{"pair_id": "d3_s0211_N1_v2", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "Why does Django recommend testing with a screen reader on Windows at all?"}
{"pair_id": "d3_s0211_N2_v1", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "Which screen readers does Django recommend across all operating systems, and which browsers pair with them?"}
{"pair_id": "d3_s0211_N2_v2", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "Which of Django's recommended Windows screen readers is built into the operating system, and which browser pairs with it?"}
{"pair_id": "d3_s0211_N3_v1", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "Which screen reader does Django recommend for testing on macOS, and which browser should it be paired with?"}
{"pair_id": "d3_s0211_N3_v2", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "Which screen reader does Django recommend for testing on Linux, and which browser should it be paired with?"}
{"pair_id": "d3_s0211_N4_v1", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "Which screen reader does Django advise against using for testing on Windows, and with which browser?"}
{"pair_id": "d3_s0211_N5_v2", "cached_question": "Which screen reader does Django recommend for testing on Windows, and which browser should it be paired with?", "cached_answer": "NVDA is recommended with Firefox ESR (Narrator is also recommended, paired with Microsoft Edge).", "new_query": "At most how many screen readers does Django recommend for testing on Windows?"}
