You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0709
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0788_N5_v3", "cached_question": "What happens if you write <button onClick={alert('You clicked me!')}> in JSX?", "cached_answer": "The alert fires every time the component renders, not when the button is actually clicked.", "new_query": "What is the minimum number of times the alert fires with <button onClick={alert('You clicked me!')}> in JSX?"}
{"pair_id": "d3_s0788_N6_v1", "cached_question": "What happens if you write <button onClick={alert('You clicked me!')}> in JSX?", "cached_answer": "The alert fires every time the component renders, not when the button is actually clicked.", "new_query": "Why does wrapping alert('You clicked me!') in an arrow function fix the JSX onClick problem?"}
{"pair_id": "d3_s0788_N6_v2", "cached_question": "What happens if you write <button onClick={alert('You clicked me!')}> in JSX?", "cached_answer": "The alert fires every time the component renders, not when the button is actually clicked.", "new_query": "What warning does React log when you write <button onClick={alert('You clicked me!')}> in JSX?"}
{"pair_id": "d3_s0788_P2_v2", "cached_question": "What happens if you write <button onClick={alert('You clicked me!')}> in JSX?", "cached_answer": "The alert fires every time the component renders, not when the button is actually clicked.", "new_query": "<button onClick={alert('You clicked me!')}> in JSX — what does that end up doing?"}
{"pair_id": "d3_s0788_P2_v4", "cached_question": "What happens if you write <button onClick={alert('You clicked me!')}> in JSX?", "cached_answer": "The alert fires every time the component renders, not when the button is actually clicked.", "new_query": "Tell me the behavior produced by writing <button onClick={alert('You clicked me!')}> in JSX."}
{"pair_id": "d3_s0788_P3_v2", "cached_question": "What happens if you write <button onClick={alert('You clicked me!')}> in JSX?", "cached_answer": "The alert fires every time the component renders, not when the button is actually clicked.", "new_query": "jsx: <button onClick={alert('You clicked me!')}> — whats the result??"}
{"pair_id": "d3_s0788_P3_v4", "cached_question": "What happens if you write <button onClick={alert('You clicked me!')}> in JSX?", "cached_answer": "The alert fires every time the component renders, not when the button is actually clicked.", "new_query": "writing <button onClick={alert('You clicked me!')}> in jsx does wat exactly"}
{"pair_id": "d3_s0792_N4_v1", "cached_question": "What two built-in Hooks does the custom useOnlineStatus Hook combine, and what value does it return?", "cached_answer": "It combines useState and useEffect, subscribing to the browser's 'online' and 'offline' events, and returns the isOnline boolean value.", "new_query": "Of the two built-in Hooks inside useOnlineStatus, which one is not the one that stores the status?"}
{"pair_id": "d3_s0792_N4_v4", "cached_question": "What two built-in Hooks does the custom useOnlineStatus Hook combine, and what value does it return?", "cached_answer": "It combines useState and useEffect, subscribing to the browser's 'online' and 'offline' events, and returns the isOnline boolean value.", "new_query": "How would you split useOnlineStatus apart instead of combining the two Hooks?"}
{"pair_id": "d3_s0792_N5_v1", "cached_question": "What two built-in Hooks does the custom useOnlineStatus Hook combine, and what value does it return?", "cached_answer": "It combines useState and useEffect, subscribing to the browser's 'online' and 'offline' events, and returns the isOnline boolean value.", "new_query": "Which of the two built-in Hooks in useOnlineStatus is called first?"}
{"pair_id": "d3_s0792_P1_v2", "cached_question": "What two built-in Hooks does the custom useOnlineStatus Hook combine, and what value does it return?", "cached_answer": "It combines useState and useEffect, subscribing to the browser's 'online' and 'offline' events, and returns the isOnline boolean value.", "new_query": "The custom useOnlineStatus Hook is built from which two React built-in Hooks, and what does it give back?"}
{"pair_id": "d3_s0792_P1_v3", "cached_question": "What two built-in Hooks does the custom useOnlineStatus Hook combine, and what value does it return?", "cached_answer": "It combines useState and useEffect, subscribing to the browser's 'online' and 'offline' events, and returns the isOnline boolean value.", "new_query": "What pair of built-in Hooks does useOnlineStatus rely on internally, and what does it return?"}
{"pair_id": "d3_s0792_P2_v2", "cached_question": "What two built-in Hooks does the custom useOnlineStatus Hook combine, and what value does it return?", "cached_answer": "It combines useState and useEffect, subscribing to the browser's 'online' and 'offline' events, and returns the isOnline boolean value.", "new_query": "I'm reading about useOnlineStatus — which two built-in Hooks get combined there, and what's returned?"}
{"pair_id": "d3_s0792_P2_v3", "cached_question": "What two built-in Hooks does the custom useOnlineStatus Hook combine, and what value does it return?", "cached_answer": "It combines useState and useEffect, subscribing to the browser's 'online' and 'offline' events, and returns the isOnline boolean value.", "new_query": "Name the two built-in Hooks that are combined in useOnlineStatus, along with its return value."}
{"pair_id": "d3_s0792_P3_v1", "cached_question": "What two built-in Hooks does the custom useOnlineStatus Hook combine, and what value does it return?", "cached_answer": "It combines useState and useEffect, subscribing to the browser's 'online' and 'offline' events, and returns the isOnline boolean value.", "new_query": "what 2 builtin hooks does useOnlineStatus combine n what does it return"}
{"pair_id": "d3_s0792_P3_v3", "cached_question": "What two built-in Hooks does the custom useOnlineStatus Hook combine, and what value does it return?", "cached_answer": "It combines useState and useEffect, subscribing to the browser's 'online' and 'offline' events, and returns the isOnline boolean value.", "new_query": "whcih two builtin Hooks r combined in the custom useOnlineStatus hook and wat value it returns"}
{"pair_id": "d3_s0792_P3_v4", "cached_question": "What two built-in Hooks does the custom useOnlineStatus Hook combine, and what value does it return?", "cached_answer": "It combines useState and useEffect, subscribing to the browser's 'online' and 'offline' events, and returns the isOnline boolean value.", "new_query": "custom useOnlineStatus hook: combines which 2 hooks, returns wat?"}
{"pair_id": "d3_s0793_N3_v1", "cached_question": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and SaveButton components?", "cached_answer": "Both components had duplicated the same useState/useEffect logic for tracking online status, so extracting a custom Hook removed that duplication.", "new_query": "Why did the article extract the useOnlineStatus custom Hook out of the StatusBar and Form components?"}
