You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0012
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d1_s0067_N1_v1", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "How is the Week 2 deliverable in 1.012 graded?"}
{"pair_id": "d1_s0067_N2_v1", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "What is the key deliverable due at the end of Week 2 in the 1.012 Design-Build Lab?"}
{"pair_id": "d1_s0067_N2_v2", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "What key deliverables are due across the first two weeks of 1.012?"}
{"pair_id": "d1_s0067_N3_v1", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "What is the key deliverable due at the end of Week 3 in 1.012?"}
{"pair_id": "d1_s0067_N3_v2", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "What is the key deliverable due at the end of Week 2 in 1.017?"}
{"pair_id": "d1_s0067_N5_v1", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "What is the least important deliverable due at the end of Week 2 in 1.012?"}
{"pair_id": "d1_s0067_P1_v1", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "What is the main deliverable that must be turned in at the close of Week 2 in 1.012?"}
{"pair_id": "d1_s0067_P1_v3", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "What major piece of work wraps up Week 2 of 1.012?"}
{"pair_id": "d1_s0067_P1_v4", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "What is the principal Week 2 deliverable for course 1.012?"}
{"pair_id": "d1_s0067_P2_v1", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "Tell me the key deliverable that is due at the end of Week 2 in 1.012."}
{"pair_id": "d1_s0067_P2_v3", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "By the end of Week 2 in 1.012, what must be submitted?"}
{"pair_id": "d1_s0067_P2_v4", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "I need to know which deliverable 1.012 requires at the Week 2 mark."}
{"pair_id": "d1_s0067_P3_v3", "cached_question": "What is the key deliverable due at the end of Week 2 in 1.012?", "cached_answer": "Students must complete the Paperweight Design.", "new_query": "whats due at the end of week two in 1.012 lol"}
{"pair_id": "d1_s0068_N1_v1", "cached_question": "What design project is introduced in Week 8 of the 1.012 course calendar, and what does the lab involve?", "cached_answer": "Design Project 4 - Green Line is introduced, with the lab covering a site visit and completing the Green Line readings.", "new_query": "What is due in Week 8 of the 1.012 course calendar?"}
{"pair_id": "d1_s0068_N2_v1", "cached_question": "What design project is introduced in Week 8 of the 1.012 course calendar, and what does the lab involve?", "cached_answer": "Design Project 4 - Green Line is introduced, with the lab covering a site visit and completing the Green Line readings.", "new_query": "What design projects are introduced across the entire 1.012 course calendar?"}
{"pair_id": "d1_s0068_N3_v1", "cached_question": "What design project is introduced in Week 8 of the 1.012 course calendar, and what does the lab involve?", "cached_answer": "Design Project 4 - Green Line is introduced, with the lab covering a site visit and completing the Green Line readings.", "new_query": "What design project is introduced in Week 9 of the 1.012 course calendar, and what does the lab involve?"}
{"pair_id": "d1_s0068_N5_v1", "cached_question": "What design project is introduced in Week 8 of the 1.012 course calendar, and what does the lab involve?", "cached_answer": "Design Project 4 - Green Line is introduced, with the lab covering a site visit and completing the Green Line readings.", "new_query": "What is the first design project introduced in the 1.012 course calendar?"}
{"pair_id": "d1_s0068_P1_v1", "cached_question": "What design project is introduced in Week 8 of the 1.012 course calendar, and what does the lab involve?", "cached_answer": "Design Project 4 - Green Line is introduced, with the lab covering a site visit and completing the Green Line readings.", "new_query": "Which design project starts in Week 8 of the 1.012 calendar, and what happens in the lab?"}
{"pair_id": "d1_s0068_P1_v3", "cached_question": "What design project is introduced in Week 8 of the 1.012 course calendar, and what does the lab involve?", "cached_answer": "Design Project 4 - Green Line is introduced, with the lab covering a site visit and completing the Green Line readings.", "new_query": "What design project does Week 8 of 1.012 introduce, and what work does the lab session cover?"}
{"pair_id": "d1_s0068_P2_v2", "cached_question": "What design project is introduced in Week 8 of the 1.012 course calendar, and what does the lab involve?", "cached_answer": "Design Project 4 - Green Line is introduced, with the lab covering a site visit and completing the Green Line readings.", "new_query": "For Week 8 of the 1.012 course calendar, I need the design project introduced and the lab contents."}
{"pair_id": "d1_s0068_P2_v3", "cached_question": "What design project is introduced in Week 8 of the 1.012 course calendar, and what does the lab involve?", "cached_answer": "Design Project 4 - Green Line is introduced, with the lab covering a site visit and completing the Green Line readings.", "new_query": "The design project introduced in Week 8 of 1.012 — what is it, and what is done in the lab?"}
{"pair_id": "d1_s0068_P3_v1", "cached_question": "What design project is introduced in Week 8 of the 1.012 course calendar, and what does the lab involve?", "cached_answer": "Design Project 4 - Green Line is introduced, with the lab covering a site visit and completing the Green Line readings.", "new_query": "wk 8 of 1.012 - which design project is introduced n what does the lab involve?"}
{"pair_id": "d1_s0068_P3_v3", "cached_question": "What design project is introduced in Week 8 of the 1.012 course calendar, and what does the lab involve?", "cached_answer": "Design Project 4 - Green Line is introduced, with the lab covering a site visit and completing the Green Line readings.", "new_query": "wat design project starts week 8 in 1.012 and whats the lab abt"}
{"pair_id": "d1_s0072_N2_v1", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "Who taught the recitation sections of MIT's 1.017 Computing and Data Analysis for Environmental Applications, and when?"}
{"pair_id": "d1_s0072_N2_v2", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "Who has taught MIT's 1.017 Computing and Data Analysis for Environmental Applications in every offering, and when?"}
{"pair_id": "d1_s0072_N4_v1", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "Who will teach MIT's 1.017 Computing and Data Analysis for Environmental Applications, and in what term?"}
{"pair_id": "d1_s0072_N5_v1", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "Who taught MIT's 1.017 Computing and Data Analysis for Environmental Applications the earliest, and in what term?"}
{"pair_id": "d1_s0072_N5_v2", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "Who taught the most recent offering of MIT's 1.017 Computing and Data Analysis for Environmental Applications, and when?"}
{"pair_id": "d1_s0072_P1_v1", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "Which professor taught MIT's 1.017, Computing and Data Analysis for Environmental Applications, and in which semester?"}
{"pair_id": "d1_s0072_P1_v3", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "Name the faculty member behind MIT 1.017 Computing and Data Analysis for Environmental Applications, plus the term."}
{"pair_id": "d1_s0072_P2_v2", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "Give me the instructor and term for MIT course 1.017, Computing and Data Analysis for Environmental Applications."}
{"pair_id": "d1_s0072_P2_v3", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "I want to know the term MIT 1.017 Computing and Data Analysis for Environmental Applications ran and who taught it."}
{"pair_id": "d1_s0072_P2_v4", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "For MIT 1.017, Computing and Data Analysis for Environmental Applications, the professor and term are what?"}
{"pair_id": "d1_s0072_P3_v1", "cached_question": "Who taught MIT course 1.017, Computing and Data Analysis for Environmental Applications, and in what term?", "cached_answer": "Prof. Dennis McLaughlin taught it in Fall 2003.", "new_query": "who taught mit 1.017 computing n data analysis for environmental applications, what term?"}
