You are the verification tier of a semantic cache. The first tier (embedding similarity)
proposed serving a stored answer to a new query. You see both questions and the stored
answer. Decide whether serving is safe.

DECISION RULE
SERVE      — the stored answer is a fully correct and complete answer to the new query.
REGENERATE — anything else: different entity/version, flipped polarity, different
             quantifier or extreme, different facet or scope, different presupposed fact,
             or you are unsure. When in doubt, REGENERATE (a false hit sends a user the
             wrong answer; a false miss only costs one LLM call).

Pay attention to small discrete differences the first tier is blind to: "1" vs "2",
negation words, earliest/latest, min/max, sibling entities. Do not be fooled by large
surface differences that change nothing (typos, missing diacritics, paraphrase).

OUTPUT FORMAT — JSONL only, one object per line, no commentary:
{"pair_id":"...","decision":"SERVE|REGENERATE","conf":<0..1>}


[BATCH INPUT]
batch_id: E_0639
pairs (JSONL — pair_id, cached_question, cached_answer, new_query):

{"pair_id": "d3_s0131_P2_v2", "cached_question": "What two methods does Django support for providing initial data to prepopulate a database?", "cached_answer": "Django supports providing initial data via data migrations or via fixtures.", "new_query": "For prepopulating a database in Django, which two methods are supported?"}
{"pair_id": "d3_s0131_P2_v3", "cached_question": "What two methods does Django support for providing initial data to prepopulate a database?", "cached_answer": "Django supports providing initial data via data migrations or via fixtures.", "new_query": "I need to prepopulate my database in Django — which two supported methods are there?"}
{"pair_id": "d3_s0131_P2_v4", "cached_question": "What two methods does Django support for providing initial data to prepopulate a database?", "cached_answer": "Django supports providing initial data via data migrations or via fixtures.", "new_query": "Name the two supported ways of providing initial data in Django."}
{"pair_id": "d3_s0131_P3_v2", "cached_question": "What two methods does Django support for providing initial data to prepopulate a database?", "cached_answer": "Django supports providing initial data via data migrations or via fixtures.", "new_query": "django initial data - the two ways to prepopulate db??"}
{"pair_id": "d3_s0131_P3_v3", "cached_question": "What two methods does Django support for providing initial data to prepopulate a database?", "cached_answer": "Django supports providing initial data via data migrations or via fixtures.", "new_query": "which two methds does django suport for prepopulating a database w/ initial data"}
{"pair_id": "d3_s0132_N4_v1", "cached_question": "What management command makes it easiest to create a fixture from data you already have in the database?", "cached_answer": "The `manage.py dumpdata` command is the most straightforward way to create a fixture from existing data.", "new_query": "What management command makes it easiest to load a fixture into the database?"}
{"pair_id": "d3_s0132_N5_v1", "cached_question": "What management command makes it easiest to create a fixture from data you already have in the database?", "cached_answer": "The `manage.py dumpdata` command is the most straightforward way to create a fixture from existing data.", "new_query": "Other than the easiest one, which management commands can create a fixture from existing database data?"}
{"pair_id": "d3_s0132_N5_v2", "cached_question": "What management command makes it easiest to create a fixture from data you already have in the database?", "cached_answer": "The `manage.py dumpdata` command is the most straightforward way to create a fixture from existing data.", "new_query": "Which management command makes it least convenient to create a fixture from data already in the database?"}
{"pair_id": "d3_s0132_N6_v2", "cached_question": "What management command makes it easiest to create a fixture from data you already have in the database?", "cached_answer": "The `manage.py dumpdata` command is the most straightforward way to create a fixture from existing data.", "new_query": "Once you've created a fixture from data already in the database, what command loads it back?"}
{"pair_id": "d3_s0132_P1_v2", "cached_question": "What management command makes it easiest to create a fixture from data you already have in the database?", "cached_answer": "The `manage.py dumpdata` command is the most straightforward way to create a fixture from existing data.", "new_query": "What's the easiest manage.py command for turning existing database data into a fixture?"}
{"pair_id": "d3_s0132_P1_v3", "cached_question": "What management command makes it easiest to create a fixture from data you already have in the database?", "cached_answer": "The `manage.py dumpdata` command is the most straightforward way to create a fixture from existing data.", "new_query": "Which Django management command most easily produces a fixture from data currently stored in the database?"}
